Услуги-Авиация, Летища и Авиолинии;0.0
Производство-Химия и горива;1.0
Услуги-Архитектура, Строителство и Градоустройство;0.5
Технологии-Маркетинг;2.5
Услуги-Почистване, Услуги за домакинството;3.0
Технологии-Счетоводство, Одит, Финанси;5.0
Производство-Металургия и минно дело;0.0
Технологии-Човешки ресурси;0.0
Услуги-Институции/Държавна администрация;0.0
Услуги-Административни и офис дейности;7.5
Технологии-ИТ-Разработка/поддръжка на софтуер;1.2
Технологии-Право, Юридически услуги;0.0
Технологии-Образование, Курсове, Преводи;1.0
Услуги-Шофьори, Куриери;19.0
Услуги-Морски и Речен Транспорт/Морски Специалисти;0.0
Услуги-Организации с нестопанска цел;0.5
Производство-Производство(друго);20.8
Услуги-Търговия, Продажби-Продавачи и помощен персонал;33.0
Услуги-Салони за красота;3.0
Технологии-Телекомуникации-административни дейности и продажби;0.5
Производство-Храни и Напитки;11.5
Технологии-Инженери;1.8
Производство-Електроника/Електротехника, Машиностроене;16.8
Технологии-ИТ-Разработка/поддръжка на хардуер;2.8
Услуги-Спорт, Кинезитерапия;0.0
Производство-Фармация;0.0
Добив-Селско и горско стопанство, Рибовъдство;4.0
Услуги-Пътуване и Резервации/Туристически агенции;0.0
Услуги-Застраховане;1.0
Услуги-Контакт центрове (Call Centers);2.8
Услуги-Логистика, Спедиция;2.3
Технологии-ИТ-Административни дейности и продажби;2.3
Технологии-Научна и изследователска дейност;0.0
Услуги-Изкуство, Развлечение, Промоции;5.0
Услуги-Търговия, Продажби-Експерти и мениджъри;6.3
Технологии-Дизайн, Криейтив, Видео и Анимация;0.5
Технологии-Медии;0.0
Услуги-Здравеопазване и фармация;1.0
Услуги-Хотели;0.5
Услуги-Автомобили, Автосервизи, Бензиностанции;8.5
Технологии-Бизнес/Консултантски услуги;0.0
Производство-Текстил и Облеклa;1.0
Услуги-Охрана;3.3
Технологии-Мениджмънт, бизнес развитие;0.5
Услуги-Банки/Кредитиране;2.8
Услуги-Ремонт/Инсталация/Сервиз;4.5
Услуги-Ресторанти, Кетъринг;17.5
Технологии-Реклама/PR;0.5
Услуги-Недвижими имоти;4.0
Технологии-Телекомуникации-инженери и техници;2.5
Услуги-Енергетика и Ютилитис (Ток/Вода/Парно/Газ);1.5
